Eurovision Song Contest 2015 Grand Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Albania,Slovenia,12,15,8,16,25,14,24,20,"
"
Albania,France,17,22,16,10,11,15,19,17,"
"
Albania,Israel,18,10,12,20,9,11,6,6,5
Albania,Estonia,11,12,10,12,21,10,8,7,4
Albania,United Kingdom,22,23,20,25,20,26,17,21,"
"
Albania,Armenia,24,16,26,15,15,20,25,23,"
"
Albania,Lithuania,23,17,25,17,17,23,23,24,"
"
Albania,Serbia,7,5,7,4,3,6,14,9,2
Albania,Norway,13,24,14,18,14,17,21,19,"
"
Albania,Sweden,5,8,5,3,1,5,5,4,7
Albania,Cyprus,25,25,24,21,12,25,22,25,"
"
Albania,Australia,10,6,11,9,16,8,10,8,3
Albania,Belgium,19,14,9,13,18,12,9,10,1
Albania,Austria,14,26,13,24,22,22,15,18,"
"
Albania,Greece,6,4,3,1,2,2,2,2,10
Albania,Montenegro,4,3,1,5,5,3,13,5,6
Albania,Germany,8,9,15,26,24,16,7,12,"
"
Albania,Poland,26,19,19,19,19,24,20,22,"
"
Albania,Latvia,2,18,6,7,13,7,16,13,"
"
Albania,Romania,16,13,22,14,8,13,12,14,"
"
Albania,Spain,20,7,17,22,23,19,11,16,"
"
Albania,Hungary,15,11,18,8,7,9,18,15,"
"
Albania,Georgia,9,20,21,11,26,18,4,11,"
"
Albania,Azerbaijan,21,21,23,23,10,21,26,26,"
"
Albania,Russia,3,2,4,6,6,4,3,3,8
Albania,Italy,1,1,2,2,4,1,1,1,12
Armenia,Slovenia,19,17,15,15,7,14,19,17,"
"
Armenia,France,7,5,7,11,20,8,8,8,3
Armenia,Israel,20,18,25,25,25,25,9,18,"
"
Armenia,Estonia,21,20,24,24,9,20,6,11,"
"
Armenia,United Kingdom,22,21,20,20,21,22,22,24,"
"
Armenia,Lithuania,23,22,19,17,11,18,25,22,"
"
Armenia,Serbia,18,23,14,18,19,19,14,16,"
"
Armenia,Norway,17,19,21,19,24,21,15,19,"
"
Armenia,Sweden,6,7,3,6,6,6,4,4,7
Armenia,Cyprus,10,6,11,14,18,11,17,13,"
"
Armenia,Australia,12,10,8,12,12,10,11,10,1
Armenia,Belgium,8,16,10,5,10,7,7,7,4
Armenia,Austria,16,25,12,8,17,15,24,21,"
"
Armenia,Greece,3,2,4,3,5,2,10,6,5
Armenia,Montenegro,4,3,5,4,4,4,3,3,8
Armenia,Germany,15,24,17,16,13,17,20,20,"
"
Armenia,Poland,11,8,16,10,16,12,18,15,"
"
Armenia,Latvia,2,9,6,1,3,5,13,9,2
